"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Mother tongue","              Marathi",,    8295,,    4300,,    3995,,    8295,,    4300,,    3995,
"Mother tongue","              Nepali",,   18275,,    9230,,    9045,,   18275,,    9230,,    9045,
"Mother tongue","              Oriya (Odia)",,    1055,,     560,,     495,,    1055,,     560,,     495,
"Mother tongue","              Punjabi (Panjabi)",,  501680,,  253515,,  248160,,  501680,,  253515,,  248160,
"Mother tongue","              Sindhi",,   11860,,    5605,,    6260,,   11860,,    5605,,    6260,
"Mother tongue","              Sinhala (Sinhalese)",,   16335,,    8050,,    8285,,   16335,,    8050,,    8285,
"Mother tongue","              Urdu",,  210815,,  106960,,  103860,,  210815,,  106960,,  103860,
"Mother tongue","            Iranian languages",,  242805,,  122835,,  119970,,  242805,,  122835,,  119970,
"Mother tongue","              Kurdish",,   11705,,    6345,,    5355,,   11705,,    6345,,    5355,
"Mother tongue","              Pashto",,   16910,,    8760,,    8145,,   16910,,    8760,,    8145,
"Mother tongue","              Persian (Farsi)",,  214200,,  107725,,  106470,,  214200,,  107725,,  106470,
"Mother tongue","            Indo-Iranian languages; n.i.e.",,    5180,,    2755,,    2425,,    5180,,    2755,,    2425,
"Mother tongue","          Italic (Romance) languages",, 1154270,,  558660,,  595615,, 1154270,,  558660,,  595615,
"Mother tongue","            Catalan",,     865,,     440,,     425,,     865,,     440,,     425,
"Mother tongue","            Italian",,  375635,,  184415,,  191220,,  375635,,  184415,,  191220,
"Mother tongue","            Portuguese",,  221540,,  106630,,  114910,,  221540,,  106630,,  114910,
"Mother tongue","            Romanian",,   96665,,   46195,,   50470,,   96665,,   46195,,   50470,
"Mother tongue","            Spanish",,  458850,,  220605,,  238245,,  458850,,  220605,,  238245,
"Mother tongue","            Italic (Romance) languages; n.i.e.",,     720,,     380,,     340,,     720,,     380,,     340,
"Mother tongue","        Japanese",,   43640,,   14790,,   28855,,   43640,,   14790,,   28855,
"Mother tongue","        Kartvelian languages",,    1715,,     910,,     805,,    1715,,     910,,     805,
"Mother tongue","          Georgian",,    1715,,     910,,     805,,    1715,,     910,,     805,
"Mother tongue","        Korean",,  153425,,   70310,,   83115,,  153425,,   70310,,   83115,
"Mother tongue","        Mongolic languages",,    1575,,     690,,     885,,    1575,,     690,,     885,
"Mother tongue","          Mongolian",,    1575,,     690,,     880,,    1575,,     690,,     880,
"Mother tongue","        Niger-Congo languages",,   91375,,   45075,,   46305,,   91375,,   45075,,   46305,
"Mother tongue","          Akan (Twi)",,   13455,,    6490,,    6970,,   13455,,    6490,,    6970,
"Mother tongue","          Bamanankan",,    1535,,     815,,     720,,    1535,,     815,,     720,
"Mother tongue","          Edo",,    1670,,     770,,     900,,    1670,,     770,,     900,
"Mother tongue","          Ewe",,    1760,,     950,,     805,,    1760,,     950,,     805,
"Mother tongue","          Fulah (Pular; Pulaar; Fulfulde)",,    2825,,    1495,,    1335,,    2825,,    1495,,    1335,
"Mother tongue","          Ga",,     920,,     445,,     470,,     920,,     445,,     470,
"Mother tongue","          Ganda",,    1295,,     625,,     665,,    1295,,     625,,     665,
"Mother tongue","          Igbo",,    4235,,    2265,,    1970,,    4235,,    2265,,    1970,
"Mother tongue","          Lingala",,    3810,,    1785,,    2025,,    3810,,    1785,,    2025,
"Mother tongue","          Rundi (Kirundi)",,    5845,,    2785,,    3060,,    5845,,    2785,,    3060,
"Mother tongue","          Kinyarwanda (Rwanda)",,    5250,,    2355,,    2895,,    5250,,    2355,,    2895,
"Mother tongue","          Shona",,    3180,,    1520,,    1665,,    3180,,    1520,,    1665,
"Mother tongue","          Swahili",,   13370,,    6385,,    6990,,   13370,,    6385,,    6990,
"Mother tongue","          Wolof",,    3990,,    2170,,    1820,,    3990,,    2170,,    1820,
"Mother tongue","          Yoruba",,    9085,,    4785,,    4300,,    9085,,    4785,,    4300,
"Mother tongue","          Niger-Congo languages; n.i.e.",,   19135,,    9435,,    9695,,   19135,,    9435,,    9695,
"Mother tongue","        Nilo-Saharan languages",,    5870,,    3025,,    2845,,    5870,,    3025,,    2845,
"Mother tongue","          Dinka",,    2120,,    1115,,    1000,,    2120,,    1115,,    1000,
"Mother tongue","          Nilo-Saharan languages; n.i.e.",,    3755,,    1910,,    1840,,    3755,,    1910,,    1840,
"Mother tongue","        Sign languages",,    7500,,    3925,,    3575,,    7500,,    3925,,    3575,
"Mother tongue","          American Sign Language",,    2685,,    1320,,    1360,,    2685,,    1320,,    1360,
"Mother tongue","          Quebec Sign Language",,     695,,     340,,     355,,     695,,     340,,     355,
"Mother tongue","          Sign languages; n.i.e",,    4120,,    2265,,    1860,,    4120,,    2265,,    1860,
"Mother tongue","        Sino-Tibetan languages",, 1269215,,  589570,,  679645,, 1269215,,  589570,,  679645,
"Mother tongue","          Chinese languages",, 1253360,,  581650,,  671715,, 1253360,,  581650,,  671715,
"Mother tongue","            Cantonese",,  565270,,  262865,,  302405,,  565270,,  262865,,  302405,
"Mother tongue","            Hakka",,   10910,,    4900,,    6015,,   10910,,    4900,,    6015,
"Mother tongue","            Mandarin",,  592040,,  274630,,  317410,,  592040,,  274630,,  317410,
"Mother tongue","            Min Dong",,    1230,,     580,,     650,,    1230,,     580,,     650,
"Mother tongue","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,   31795,,   14450,,   17350,,   31795,,   14450,,   17350,
"Mother tongue","            Wu (Shanghainese)",,   12915,,    5780,,    7140,,   12915,,    5780,,    7140,
"Mother tongue","            Chinese; n.o.s.",,   38580,,   18165,,   20410,,   38580,,   18165,,   20410,
"Mother tongue","            Chinese languages; n.i.e.",,     610,,     275,,     335,,     610,,     275,,     335,
"Mother tongue","          Tibeto-Burman languages",,   15850,,    7925,,    7935,,   15850,,    7925,,    7935,
"Mother tongue","            Burmese",,    3585,,    1795,,    1790,,    3585,,    1795,,    1790,
"Mother tongue","            Karenic languages",,    4705,,    2355,,    2350,,    4705,,    2355,,    2350,
"Mother tongue","            Tibetan",,    6165,,    3080,,    3080,,    6165,,    3080,,    3080,
"Mother tongue","            Tibeto-Burman languages; n.i.e.",,    1400,,     695,,     705,,    1400,,     695,,     705,
"Mother tongue","        Tai-Kadai languages",,   22010,,    8870,,   13145,,   22010,,    8870,,   13145,
"Mother tongue","          Lao",,   12670,,    6145,,    6525,,   12670,,    6145,,    6525,
"Mother tongue","          Thai",,    9255,,    2690,,    6565,,    9255,,    2690,,    6565,
"Mother tongue","          Tai-Kadai languages; n.i.e",,      80,,      35,,      55,,      80,,      35,,      55,
"Mother tongue","        Turkic languages",,   40140,,   21120,,   19025,,   40140,,   21120,,   19025,
"Mother tongue","          Azerbaijani",,    3260,,    1785,,    1470,,    3260,,    1785,,    1470,
"Mother tongue","          Turkish",,   32815,,   17375,,   15440,,   32815,,   17375,,   15440,
"Mother tongue","          Uyghur",,    1035,,     510,,     525,,    1035,,     510,,     525,
"Mother tongue","          Uzbek",,    1715,,     855,,     865,,    1715,,     855,,     865,
"Mother tongue","          Turkic languages; n.i.e.",,    1315,,     590,,     720,,    1315,,     590,,     720,
"Mother tongue","        Uralic languages",,   81985,,   37790,,   44195,,   81985,,   37790,,   44195,
"Mother tongue","          Estonian",,    5445,,    2325,,    3115,,    5445,,    2325,,    3115,
"Mother tongue","          Finnish",,   15295,,    6395,,    8900,,   15295,,    6395,,    8900,
"Mother tongue","          Hungarian",,   61235,,   29060,,   32175,,   61235,,   29060,,   32175,
"Mother tongue","          Uralic languages; n.i.e.",,      10,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","        Other languages; n.i.e.",,    3690,,    2045,,    1645,,    3690,,    2045,,    1645,
"Mother tongue","  Multiple responses",,  818635,,  398325,,  420305,,  818635,,  398325,,  420305,
"Mother tongue","    English and French",,  165320,,   80460,,   84860,,  165320,,   80460,,   84860,
"Mother tongue","    English and non-official language",,  533265,,  259160,,  274100,,  533265,,  259160,,  274100,
"Mother tongue","    French and non-official language",,   86150,,   42170,,   43985,,   86150,,   42170,,   43985,
"Mother tongue","    English; French and non-official language",,   33900,,   16535,,   17365,,   33900,,   16535,,   17365,
"Language spoken most often at home","Total - Language spoken most often at home for the total population excluding institutional residents - 100% data",19,34767250,,17101165,,17666085,,34767250,,17101165,,17666085,
"Language spoken most often at home","  Single responses",,33103860,,16298475,,16805395,,33103860,,16298475,,16805395,
"Language spoken most often at home","    Official languages",,29106670,,14383020,,14723645,,29106670,,14383020,,14723645,
"Language spoken most often at home","      English",,22162865,,10966135,,11196730,,22162865,,10966135,,11196730,
"Language spoken most often at home","      French",, 6943800,, 3416890,, 3526910,, 6943800,, 3416890,, 3526910,
"Language spoken most often at home","    Non-official languages",, 3997195,, 1915450,, 2081750,, 3997195,, 1915450,, 2081750,
"Language spoken most often at home","      Aboriginal languages",,  118470,,   59720,,   58750,,  118470,,   59720,,   58750,
"Language spoken most often at home","        Algonquian languages",,   75080,,   37825,,   37260,,   75080,,   37825,,   37260,
"Language spoken most often at home","          Blackfoot",,    1115,,     555,,     555,,    1115,,     555,,     555,
"Language spoken most often at home","          Cree-Montagnais languages",,   55825,,   28135,,   27685,,   55825,,   28135,,   27685,
"Language spoken most often at home","            Atikamekw",,    5465,,    2825,,    2640,,    5465,,    2825,,    2640,
"Language spoken most often at home","            Montagnais (Innu)",,    8590,,    4195,,    4395,,    8590,,    4195,,    4395,
"Language spoken most often at home","            Moose Cree",,      10,,       5,,       5,,      10,,       5,,       5,
"Language spoken most often at home","            Naskapi",,    1200,,     595,,     605,,    1200,,     595,,     605,
"Language spoken most often at home","            Northern East Cree",,     110,,      55,,      60,,     110,,      55,,      60,
"Language spoken most often at home","            Plains Cree",,    1350,,     665,,     685,,    1350,,     665,,     685,
"Language spoken most often at home","            Southern East Cree",,      20,,       5,,      15,,      20,,       5,,      15,
"Language spoken most often at home","            Swampy Cree",,     330,,     140,,     190,,     330,,     140,,     190,
"Language spoken most often at home","            Woods Cree",,     800,,     410,,     390,,     800,,     410,,     390,
"Language spoken most often at home","            Cree; n.o.s.",,   37945,,   19240,,   18710,,   37945,,   19240,,   18710,
"Language spoken most often at home","          Eastern Algonquian languages",,    3615,,    1795,,    1820,,    3615,,    1795,,    1820,
"Language spoken most often at home","            Malecite",,      55,,      30,,      30,,      55,,      30,,      30,
"Language spoken most often at home","            Mi'kmaq",,    3560,,    1770,,    1795,,    3560,,    1770,,    1795,
"Language spoken most often at home","          Ojibway-Potawatomi languages",,   14525,,    7335,,    7190,,   14525,,    7335,,    7190,
"Language spoken most often at home","            Algonquin",,     370,,     170,,     200,,     370,,     170,,     200,
"Language spoken most often at home","            Ojibway",,    6175,,    3165,,    3015,,    6175,,    3165,,    3015,
"Language spoken most often at home","            Oji-Cree",,    7900,,    3960,,    3940,,    7900,,    3960,,    3940,
"Language spoken most often at home","            Ottawa (Odawa)",,      75,,      40,,      35,,      75,,      40,,      35,
"Language spoken most often at home","          Algonquian languages; n.i.e.",,       5,,       5,,       5,,       5,,       5,,       5,
"Language spoken most often at home","        Athabaskan languages",,   10265,,    5125,,    5135,,   10265,,    5125,,    5135,
"Language spoken most often at home","          Northern Athabaskan languages",,   10255,,    5120,,    5135,,   10255,,    5120,,    5135,
"Language spoken most often at home","            Babine (Wetsuwet'en)",,      15,,      10,,      10,,      15,,      10,,      10,
"Language spoken most often at home","            Beaver",,      50,,      30,,      20,,      50,,      30,,      20,
"Language spoken most often at home","            Carrier",,     245,,     115,,     130,,     245,,     115,,     130,
"Language spoken most often at home","            Chilcotin",,     255,,     125,,     130,,     255,,     125,,     130,
"Language spoken most often at home","            Dene",,    7710,,    3805,,    3905,,    7710,,    3805,,    3905,
